B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,NDVI,NDWI,NDMI,class
0.570200,0.220200,0.385300,0.297500,0.682200,1.150800,1.258300,1.181600,1.245200,1.657400,0.597728,-0.508201,-0.026207,1.000000
0.406300,0.218900,0.321100,0.300200,0.554400,1.068200,1.220900,1.424100,1.282500,1.428000,0.651801,-0.632019,0.052317,1.000000
0.451500,0.184800,0.310600,0.258200,0.516400,1.099700,1.306800,1.523000,1.409700,1.534200,0.710083,-0.661213,0.038633,1.000000
0.386000,0.256900,0.363700,0.354500,0.631800,1.177000,1.311400,1.564300,1.420100,1.450900,0.630498,-0.622718,0.048318,1.000000
0.422700,0.201800,0.262800,0.262100,0.572800,1.145600,1.289700,1.576100,1.385400,1.457500,0.714830,-0.714177,0.064393,1.000000
0.303400,0.255600,0.393200,0.341400,0.584600,1.012500,1.160000,1.246500,1.244500,1.310000,0.569998,-0.520400,8.028904E-4,1.000000
0.348000,0.237900,0.365700,0.336800,0.617300,0.984300,1.120000,1.106200,1.148200,1.411600,0.533195,-0.503091,-0.018630,1.000000
0.314600,0.158600,0.257600,0.207100,0.422000,0.951600,1.200600,1.450300,1.304100,1.392000,0.750091,-0.698343,0.053079,1.000000
0.308700,0.161200,0.256200,0.212300,0.439700,0.935800,1.167200,1.312000,1.262900,1.341500,0.721446,-0.673256,0.019069,1.000000
0.311900,0.217600,0.305400,0.273900,0.506600,1.153400,1.361200,1.536800,1.463400,1.514500,0.697465,-0.668440,0.024465,1.000000
0.311900,0.217600,0.305400,0.273900,0.506600,1.153400,1.361200,1.536800,1.463400,1.514500,0.697465,-0.668440,0.024465,1.000000
0.336200,0.183500,0.287700,0.253000,0.505300,1.137700,1.419500,1.565600,1.542000,1.371600,0.721764,-0.689527,0.007594,1.000000
0.332300,0.180200,0.275900,0.272600,0.523000,1.164600,1.433900,1.611500,1.552500,1.324500,0.710631,-0.707640,0.018647,1.000000
0.295600,0.207100,0.327700,0.315900,0.582600,0.992200,1.175700,1.390700,1.253700,1.152800,0.629790,-0.618599,0.051808,1.000000
0.290300,0.202500,0.325100,0.285700,0.556400,1.182900,1.417500,1.587300,1.509300,1.384100,0.694928,-0.660008,0.025189,1.000000
0.261500,0.280500,0.417500,0.403000,0.662600,1.153400,1.340800,1.411600,1.416200,1.280600,0.555825,-0.543491,-0.001627,1.000000
0.245800,0.265400,0.415500,0.370900,0.658600,1.154700,1.340200,1.421500,1.430600,1.297600,0.586141,-0.547632,-0.003191,1.000000
0.244400,0.175600,0.281800,0.243800,0.528900,0.842800,0.969300,0.771300,0.937200,1.190100,0.519653,-0.464818,-0.097103,1.000000
0.260200,0.160600,0.265400,0.217600,0.497400,0.831600,0.952900,0.822500,0.920100,1.204500,0.581579,-0.512088,-0.056008,1.000000
0.248400,0.186800,0.271300,0.230700,0.494800,1.006000,1.197300,1.327100,1.361800,1.300200,0.703813,-0.660536,-0.012905,1.000000
0.315900,0.187400,0.331000,0.269300,0.488900,1.100300,1.298900,1.251700,1.359900,1.509900,0.645891,-0.581727,-0.041431,1.000000
0.302100,0.184200,0.282500,0.235300,0.458700,1.114100,1.332300,1.399200,1.411600,1.502100,0.712083,-0.664030,-0.004412,1.000000
0.302100,0.184200,0.282500,0.235300,0.458700,1.114100,1.332300,1.399200,1.411600,1.502100,0.712083,-0.664030,-0.004412,1.000000
0.302100,0.184200,0.282500,0.235300,0.458700,1.114100,1.332300,1.399200,1.411600,1.502100,0.712083,-0.664030,-0.004412,1.000000
0.294900,0.169700,0.287700,0.194600,0.451500,1.012500,1.162600,1.285800,1.201900,1.341500,0.737098,-0.634318,0.033726,1.000000
0.302800,0.156000,0.275200,0.213000,0.403700,0.897200,1.117400,1.215700,1.181600,1.311400,0.701827,-0.630827,0.014224,1.000000
0.314600,0.158600,0.257600,0.207100,0.422000,0.951600,1.200600,1.450300,1.304100,1.392000,0.750091,-0.698343,0.053079,1.000000
0.260200,0.160600,0.265400,0.217600,0.497400,0.831600,0.952900,0.822500,0.920100,1.204500,0.581579,-0.512088,-0.056008,1.000000
0.260200,0.160600,0.265400,0.217600,0.497400,0.831600,0.952900,0.822500,0.920100,1.204500,0.581579,-0.512088,-0.056008,1.000000
0.260200,0.160600,0.265400,0.217600,0.497400,0.831600,0.952900,0.822500,0.920100,1.204500,0.581579,-0.512088,-0.056008,1.000000
0.256200,0.192000,0.338200,0.287700,0.635700,0.905700,1.030900,0.985000,1.000100,1.272000,0.547890,-0.488815,-0.007607,1.000000
